"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","18:21","18:21","5.00","16.4","134","148","112","52","169","22.4","18:21","16.4"
"2","18:06","36:27","5.00","16.6","135","150","131","36","145","23.9","18:06","16.6"
"3","14:48","51:14","5.00","20.3","133","151","79","82","102","25.7","14:48","20.3"
"4","14:31","1:05:46","5.00","20.7","133","145","98","102","93","27.3","14:31","20.7"
"5","15:12","1:20:58","5.00","19.7","128","153","213","322","87","39.2","15:12","19.7"
"6","16:24","1:37:22","5.00","18.3","122","153","230","249","89","39.4","16:24","18.3"
"7","18:53","1:56:15","5.00","15.9","121","144","266","141","98","31.9","18:53","15.9"
"8","21:00","2:17:15","5.00","14.3","108","148","282","75","86","25.6","21:00","14.3"
"9","14:10","2:31:25","5.00","21.2","99","130","92","591","52","41.3","14:09","21.2"
"10","21:14","2:52:38","5.00","14.1","98","139","154","394","83","25.1","21:14","14.1"
"11","12:33","3:05:12","3.26","15.6","117","138","66","312","74","26.0","12:27","15.7"
"Summary","3:05:12","3:05:12","53.26","17.3","120","153","1,722","2,356","1,079","41.3","3:05:04","17.3"